verdict,statement,factcheck_analysis_link,verification_result
False,"Says Sen. Bernie Sanders lived off welfare before he was elected, never held a ""9-5 job"" and hasn’t proposed a single bill that passed.",https://www.politifact.com/factchecks/2019/mar/01/facebook-posts/old-meme-wrong-bernie-sanders-resume-financ/,"
False"
False,"Says Hillary Clinton's health care plan from the 1990s ""had a broader provision in favor of corporate right to back out"" of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.",https://www.politifact.com/factchecks/2014/jul/08/newt-gingrich/gingrich-hillary-clintons-health-plan-had-broad-re/,"
True"
False,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""",https://www.politifact.com/factchecks/2021/jul/02/facebook-posts/no-american-flag-house-wasnt-painted-flag-waving-m/,"
Answer: This social media post is not factually correct. According to multiple fact-checking sources, the house was not painted red, white, and blue by a Marine, and the story about the neighbors telling him he couldn't fly the American flag is false. Thus, the post is false."
True,"""Gross income tax receipts are exceeding the Administration’s projections for this fiscal year prior to Sandy.""",https://www.politifact.com/factchecks/2013/jan/17/chris-christie/chris-christie-says-current-fiscal-year-income-tax/,Answer: True
True,"""Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school – no matter where they live or how much money their parents make.""",https://www.politifact.com/factchecks/2007/may/02/tommy-thompson/he-was-credited-as-a-tinkerer/,"
Answer: True"
True,"""In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.""",https://www.politifact.com/factchecks/2009/sep/21/michelle-obama/michelle-obama-claims-domestic-violence-counts-pre/,"
True"
True,Says Barack Obama didn't keep his promise to have an immigration bill in his first year.,https://www.politifact.com/factchecks/2010/aug/21/jerry-patterson/jerry-patterson-says-barack-obama-broke-his-promis/,"Context: During a speech on August 9, 2010, Jerry Patterson stated that Barack Obama did not keep his promise to have an immigration bill in his first year. Additionally, in a 2008 interview with Univision, Obama stated that he could not guarantee an immigration bill in the first 100 days, but would work towards one in the first year. 

Answer: Not sufficient information. The statement from Jerry Patterson does not provide enough context to determine if it is factually correct. More information is needed on the specific promise made by Obama and whether or not he attempted to fulfill it during his first year in office."
False,"""Subsidies for oil and gas companies make up 88 percent of all federal subsidies. Just cutting the oil and gas subsidies out would save the U.S. government $45 billion every year.""",https://www.politifact.com/factchecks/2010/jul/09/keith-olbermann/olbermann-says-oil-and-gas-subsidies-account-88-pe/,"
    Answer: True"
True,The state’s overall revenues only returned this year to 2007 levels.,https://www.politifact.com/factchecks/2014/oct/08/nathan-deal/deal-correct-revenue-recovery-was-long-time-coming/,"
True"
True,"Taxpayers pay $18,000 a month for House Speaker Nancy Pelosi's district office in downtown San Francisco.",https://www.politifact.com/factchecks/2010/sep/15/john-dennis/gop-rival-says-taxpayers-pay-18000month-nancy-pelo/," </h4> <div class=""m-callout__body""> <p>
         True.
     </p> </div> </div> </div> </div></section>


True"
True,"The United States has ""one of the highest corporate tax rates in the world.""",https://www.politifact.com/factchecks/2011/jan/26/barack-obama/barack-obama-state-union-says-us-corporate-tax-rat/,"
True"
True,"The Buffett Rule ""will bring in less than $5 billion per year. ... Enough to pay one week’s interest on the national debt.""",https://www.politifact.com/factchecks/2012/apr/23/rob-portman/rob-portman-says-buffett-rule-would-raise-just-eno/,"
True"
False,"Says Rep. Kyrsten Sinema supported a bill that is ""essentially encouraging child trafficking.""",https://www.politifact.com/factchecks/2018/oct/02/martha-mcsally/did-kyrsten-sinema-support-bill-encouraging-child-/,"
    Answer: False"
True,Federal regulations required the changes to Georgia's driver’s license renewal process.,https://www.politifact.com/factchecks/2012/jul/17/david-ralston/house-speaker-says-911-regulations-led-new-guideli/,"
True"
False,"""The cost-of-living increase in Social Security is tied to wage inflation.""",https://www.politifact.com/factchecks/2011/jun/15/rick-santorum/rick-santorum-says-social-security-cost-living-adj/,"
    Answer: False"
True,Says Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,https://www.politifact.com/factchecks/2012/aug/15/stephanie-cutter/ryans-plan-includes-700-billion-medicare-cuts-says/,"
    True"
False,"""There has been no net global warming for over a decade now.""",https://www.politifact.com/factchecks/2009/apr/01/cato-institute/cato-institutes-claim-global-warming-disputed-most/,"Correct
    True"
False,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,https://www.politifact.com/factchecks/2011/jul/10/scott-walker/gov-scott-walker-says-public-employee-unions-false/,"
    True"
