index,claim,response
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"Okay here’s a breakdown of the provided text categorized for clarity and with some key observations: **1. Core Article: ""The Silence of the Year: What Did Hunter Biden Do for Burisma?""**Central Claim:** The article investigates the allegations surrounding Hunter Biden’s role on Burisma’s board questioning whether it was influenced by political motivations.Key Points:** Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma. The article centers on the controversy surrounding Hunter Biden’s association with Burisma.Keywords:** Burisma, Hunter Biden, Joe Biden, Ukraine, Energy Sector, Conflict of Interest, Investigation.Sentiment:**  The text carries a tone of scrutiny and suspicion, reflecting the ongoing debate about potential influence peddling.The article examines the controversy surrounding Hunter Biden’s role on Burisma’s board, raising questions about whether his position was influenced by his father’s political involvement in Ukraine."
1,Donald Trump delivered the largest tax cuts in American history.,"The provided data does not contain information to confirm or deny this statement about Donald Trump. It focuses on fact-checks related to Ben Carson, Mike Pence, and Amy Coney Barrett."
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.","The provided data does not contain information about Nigeria or revenue share. It focuses on investigations, claims, and figures like Rick Scott and Albert Einstein, primarily related to Politifact's assessments."
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"Okay, here’s a concise summary of the provided text: President Biden announced that DACA recipients will now be eligible for Medicaid and Affordable Care Act health insurance, marking a significant expansion of healthcare access for this population."
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.",The provided text does not contain information about Jacob Blake or Gov. Tony Evers and Lt. Gov. Mandela Barnes.
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned","The CLAT 2020 was originally scheduled for September 7, 2020, but was later confirmed to be held on August 22, 2020."
6,35% of revenue goes to states. (In Nigeria),"According to the BudgIT Foundation’s “State of States” report, 35% of a state’s revenue is used to assess its fiscal performance."
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,"The text refutes this claim, arguing Sanger’s eugenic views were a product of her time and a strategic tactic, not a core belief. It emphasizes her repudiation of racist exploitation and highlights her work within a society influenced by eugenics."
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","Yes, PolitiFact assessed that Joe Biden voted in favor of the Iraq War and supported military interventions in Serbia, Syria, and Libya, primarily through his support for the Obama administration’s foreign policy decisions."
9,Biden will take away the Second Amendment.,"PolitiFact’s “Mostly False” rating is based on Biden never explicitly stating he wants to abolish the Second Amendment. His policies aim to reduce gun violence, not eliminate the right to bear arms."
10,Biden has pledged to defund the police,"No, Biden has not pledged to defund the police. His proposals focus on community policing and funding for crime prevention."
11,45% of Nigeria's revenue goes to the federal government.,"Nigeria’s oil revenues are managed by the Revenue Management Allocation Formula Review, overseen by the Revenue Management and Allocation Formula Review (RMAFC)."
12,Donald Trump inherited a stagnant economy and then rebuilt it.,"Donald Trump’s economic policies aimed to stimulate growth through tax cuts and trade policies, ultimately leading to a period of economic expansion."
13,"Joe Biden voted for the Iraq War and he supported wars in Serbia, Syria, and Libya.","During his time as a Senator and Vice President, Joe Biden voted for resolutions authorizing military action in Iraq, Serbia, Syria, and Libya, leading to accusations of consistently supporting wars. PolitiFact rated this record as “Mostly True.”"
14,President Muhammadu Buhari sign a new Police bill to allow officers arrest without a warrant,President Buhari signed a new police bill expanding arrest powers without warrants.
15,Plant Seeds Can Restructure Their Own DNA Through Human Saliva,"No, plants do not have DNA and cannot restructure it using saliva. Humans have DNA, and saliva contains enzymes that don’t alter DNA."
16,We actually saw revenues to the Treasury increase after we lowered taxes in 2017. Rest assured the Democrats do not want you to know that.,"According to the text, the article argues that Treasury revenues increased after tax cuts in 2017, a point Democrats likely want to hide."
17,In 2019 the US Police were 20.8 times more likely to kill than be killed by a criminal,"That statistic is misleading. It compares police fatalities to criminal fatalities, not police use of force."
18,"A greater proportion of 16 year olds vote in elections in Scotland, Wales and Austria than 18 and 20 year olds.","Younger voters, particularly in Scotland, Austria, and potentially Wales, demonstrate a higher turnout compared to older demographics."
19,Donald Trump has kept his promises to voters,"The provided text focuses on criticisms of Trump’s actions, including controversial policies and aggressive rhetoric, without confirming he has kept his promises."
20,The Edo Modular Refinery is Governor Obaseki's project.,"Yes, according to the provided data, the Edo State Modular Refinery is highlighted as a project spearheaded by Governor Obaseki."
21,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
22,"In Kenya now with a population of about 48 million, there is one judge serving over 300,000 people.","That claim is an oversimplification. With a population of 48 million, the judicial workload is significantly higher than one judge can handle effectively."
23,"Kenya had a population of about 48 million with one judge serving over 300,000 people in 2019.",Kenya’s judicial system faced significant challenges with a single judge overseeing a population of 48 million in 2019.
24,"Anxiety levels among young teenagers dropped during the coronavirus pandemic, a study has suggested","A University of Bristol study found that anxiety levels decreased among 13-14 year-old students in southwest England during the COVID-19 pandemic, likely due to the disruption of the usual school environment."
25,The Kenyan judiciary does not even get 1% of the national budget.,"Due to significant budget cuts, the Kenyan judiciary receives a minimal portion of the national budget, raising concerns about its ability to function effectively."
26,I will raise taxes for anybody making over $400000. \u2026 No new taxes for people making less than $400000.,"Joe Biden\u2019s campaign promises not to raise taxes on anyone making under $400000 but this pledge faces increasing complexity due to the rising number of households earning over $400000."27The counties are striving to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.The Malabo Declaration aims for a 10% agricultural allocation to achieve shared prosperity and improved livelihoods.
28,"Kenya only disposes of about 300,000 cases.","Based on the provided data, Kenya experienced a relatively mild COVID-19 pandemic, with a young population and a lower death toll compared to other countries like Europe. Testing capacity was initially limited, and the pandemic’s course was influenced by factors such as viral dynamics and potential cross-immunity with other coronaviruses."
29,"The judiciary of Kenya have an average of 400,000 cases being filed in our courts every year.","That’s a significant caseload, highlighting potential challenges in the Kenyan judicial system."
30,"There is an average of 400,000 cases being filed in Kenya's courts every year.","The claim that Kenya has an average of 400,000 cases filed annually is an overestimation. Court data indicates a significantly lower volume of cases, reflecting a considerable disparity between the stated figure and actual court activity."
31,There is a ‘global average’ for the number of judges and magistrates to number of people in Kenya.,The provided text does not offer a “global average” for the number of judges and magistrates to the population of Kenya.
32,"The Kenya judiciary have one magistrate serving over 77,000 people.","That statement is inaccurate. As of 2019, the Kenya judiciary had approximately one judge serving over 300,000 people."
33,The judiciary does not even get 1% of the national Kenyan budget.,"Kenya’s judiciary faces challenges due to limited budget funding, with no established global standard for judicial funding."
34,All government schools in India are being privatised.,"No, that is not accurate. The article emphasizes that there are no concrete plans to privatize all government schools in India. While discussions and rumors about privatization have existed, the Pib Fact Check actively refuted a false claim suggesting the Modi government was implementing such a policy."
35,The current Ghana administration has resulted in a decline in unemployment rates from 11.9% in 2015 to 7.3% in 2019.,Ghana’s unemployment rate decreased significantly from 11.9% in 2015 to 7.3% in 2019 under the current administration.
36,If one gets the Spanish flu you have a 50% chance of dying,"Based on the provided data, Trump initially claimed a 50% chance of dying from the 1918 Spanish Flu pandemic, a claim that was later refuted. Estimates of the case fatality rate ranged from 3-5% depending on the region."
37,"Ghana's economy previously grew at 3.4% under the form President Mahama's government and on average, for three successive years, at 7% per year with the current administration.","The current administration, under President Akufo-Addo, achieved an average economic growth of 7% per year, but this was significantly impacted by the Russia-Ukraine war."
38,"Kenya settles  about 300,000 court cases each year.","Kenya handles approximately 300,000 court cases annually."
index,claim,response,label
39,There is a ‘global average’ for the number of judges and magistrates to number of people,"The global average for judges and magistrates per population varies significantly, with Kenya having 1.3 per 100,000 people in 2014, while South Africa had 3.6 and the US 0.8.",Not Enough Evidence
40,Kenya's judiciary does not even get 1% of the national budget,"Kenya’s judiciary faces substantial challenges due to budget cuts, and there isn’t a uniform global standard for judicial funding, making each country’s situation unique.",Supported
41,"In Kenya, one Magistrate serves 77,000 people.","That statement is an understatement. As of June 2019, Kenya had 153 judges serving a population of 47.6 million, meaning one judge served approximately 300,000 people.",Refuted
42,"In Kenya now, with a population of about 48 million, they have one judge serving over 300,000 people.","The Kenyan judicial system faces a significant challenge due to a large population – approximately 48 million – and a system where one judge handles over 300,000 people.",Supported
43,No Democrats have condemned the rioting that has occurred alongside recent protests.,"Here's a concise summary based on the provided text:

A viral Facebook post falsely claimed no Democrats condemned the riots. However, investigations by Africa Check revealed that numerous Democratic figures, including Joe Biden and Barack Obama, had indeed voiced condemnation of the violence and looting associated with the protests.",Refuted
44,"A pizza place in Washington, D.C. -- Comet Ping Pong has ties to Hillary Clinton and other leading Democrats","The Pizzagate conspiracy falsely linked James Alefantis, owner of Comet Ping Pong, to Hillary Clinton and a child sex trafficking operation, despite lacking evidence. The theory involved interpreting symbols like ""cheese"" and ""pizza"" as references to young girls.",Refuted
45,South Africans that drink are amongst the top drinkers in the world.,"South Africa is a leading global consumer of alcohol, ranking among the top five nations with an average of 30 liters consumed per person annually. Men significantly outpace women in regular drinking habits, and beer is the most popular alcoholic beverage.",Supported
46,South Africans are among the top drinkers in the world.,"Yes, South Africans are among the top drinkers globally, ranking sixth worldwide for alcohol consumption.",Supported
47,South African consume more alcohol per person on average than anywhere else in Africa.,"South Africa had the highest per capita alcohol consumption in Africa in 2016, according to WHO data.",Refuted
48,South Africans drink more per person than anywhere else in Africa,"The South African health minister’s claim of high per capita alcohol consumption is inaccurate. South Africa’s consumption ranks 9th out of 53 African countries, significantly lower than other nations.",Refuted
49,Only 31% of South African drink alcohol,"According to WHO data, only 31% of South Africans consume alcohol.",Not Enough Evidence
50,South Africans drink more per person than anywhere else in Africa.,"No, this is false. Nigeria consumes more alcohol per person globally than South Africa.",Refuted
51,world bank currently rates Nigeria as one of ten top performing countries on its Doing Business Index.,"Nigeria consistently surpasses South Africa in alcohol consumption per capita, challenging the initial claim.",Supported
52,South Africans are among the top drinkers in the world,"Based on the provided text, South Africans are not among the top drinkers in the world. The text states that South Africa is ranked 31st globally in per capita alcohol consumption and that a previous claim of it being the highest globally was false.",Supported
53,Only 31% of South Africans drink alcohol,The Minister’s claim of 64.6 grams of pure alcohol per day is inaccurate. Africa Check found that South Africans consume an average of 29.9 liters of pure alcohol per person per year.,Supported
54,Only 31% of South Africans drink alcohol.,"The provided text indicates that approximately 59% of South Africans engage in “heavy episodic drinking,” not that only 31% drink alcohol.",Supported
55,Joe Biden officiated a gay wedding at the White House in 2016.,The provided text does not contain information about Joe Biden officiating a gay wedding at the White House in 2016.,Conflicting Evidence/Cherrypicking
56,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman is “pushing” for sex education that would teach kindergartners about masturbation and sexual positions.,"That’s a controversial proposal, aiming to introduce potentially mature topics into kindergarten sex education.",Refuted
57,"The interface of the COVID-19 Exposure Notification System, a contact tracing programme developed by Apple and Google has been secretly inserted onto phones and tracks user’s location.","Okay, here’s a concise summary of the Exposure Notification System, incorporating the provided information and aiming for natural language:

“The Exposure Notification System, created by Google and Apple, is a tool to help track and slow the spread of COVID-19. It works by letting people voluntarily share cryptographic keys. When someone tests positive, they generate a ‘positive’ key. Other users’ apps then generate ‘negative’ keys. If the apps match, it means a potential exposure has occurred, without revealing personal location data.”

Would you like me to elaborate on any particular aspect, such as:

*   The cryptographic keys?
*   How the system protects privacy?
*   The legal challenges it faced?",Refuted
58,Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,"The claim that Kathy Hoffman was sworn into office on a Dr. Seuss book is false. She did swear an oath, but it was on a children’s book titled “Too Many Moose!” due to a personal connection – she read it with her students. 

The proposal she presented to the State Board of Education in June 2019 aimed to update Arizona’s sex education policies, not to introduce lessons on masturbation or sexual positions.",Refuted
59,India's Supreme Court recently changed its motto from ‘Satyamev Jayate’ to ‘Yato Dharmastato Jai’.,"The Supreme Court of India did not recently change its motto. The current official motto is “Satyamev Jayate,” though “Yato Dharmastato Jai” was present on the court’s website prior to November 2019.",Refuted
60,"Democrats recited the US Pledge of Allegiance tonight and took out ""under God"".","The claim that the DNC intentionally omitted ""under God"" from the Pledge of Allegiance is false. The phrase was present on the DNC’s website and during caucus meetings.",Refuted
61,Democratic VP candidate Kamala Harris called young voters stupid.,The provided text does not contain any information about Kamala Harris or her statements regarding young voters. It focuses on a false claim about the 2020 Democratic National Convention and its subsequent debunking.,Supported
62,Israel has developed super-quick saliva test for COVID-19.,Israel has created a rapid saliva test for COVID-19.,Supported
63,Children are silent super-spreaders of coronavirus.,"This question cannot be answered using the provided context. The data focuses on political narratives, misinformation, and the ""Under God"" Pledge, not on the spread of a virus or public health.",Refuted
64,Social Security checks do not go through the U.S. postal service since 2013 because it's not secure,"No, the shift to electronic payments was driven by a 1996 law aiming to reduce costs, not security concerns.",Conflicting Evidence/Cherrypicking
65,Candace Owens was fired from her show at One America News after a  racist outburst.,The provided data does not contain information about Candace Owens or her firing from One America News. It focuses solely on Theresa Gruber and her interactions with the Social Security Administration and related concerns about misinformation.,Refuted
66,President Trump is the most pro-gay president in American history.,That statement is false. President Trump’s policies and statements regarding LGBTQ+ rights were generally considered conservative and did not advance LGBTQ+ rights.,Refuted
67,"US billionaires became $400 billion richer during the COVID-19 pandemic, while millions lost their $600 a week in extra unemployment.","During the COVID-19 pandemic, U.S. billionaires saw a $434 billion increase in wealth, while millions faced unemployment and income loss.",Conflicting Evidence/Cherrypicking
68,"Messages in Google Earth show the ""Deep States New Home,"" which shows up on the map as ""Setatspeed Emohwen Gardens"" near Guantanamo Bay, Cuba.",The claims about “Setatspeed Emohwen Gardens” being a secret Deep State location are false. Lead Stories confirms this location doesn’t exist on any mapping service and is linked to the QAnon conspiracy theory (“WWG1WGA”).,Refuted
69,USA is the only major industrial economy to have it unemployment rate triple.,That statement is false. Several other major economies have experienced significant unemployment spikes during recent periods.,Supported
70,The USA has only 4% of the worlds population but has 25% of the worlds Covid-19 Cases.,"The United States experienced a high number of COVID-19 cases and deaths, particularly impacting older adults and Black Americans. As of the text’s publication, the US accounted for a significant portion of global cases despite having a smaller population.",Supported
71,Donald Trump is trying to take away the health care by getting rid of the Affordable Care Act.,"Based on the provided data, Donald Trump has repeatedly stated his desire to replace the Affordable Care Act.",Supported
72,Mughal Gardens Renamed To Dr. Rajendra Prasad Garden,The claim that the Mughal Gardens were formally renamed to “Dr. Rajendra Prasad Garden” is false. Investigations by PolitiFact found no evidence of a formal decision and the claim was entirely unfounded.,Refuted
73,Trumps January 2018 travel ban was unlawful.,"The Supreme Court ultimately ruled the travel ban was lawful, despite numerous legal challenges.",Refuted
74,Raising the US federally required minimum wage to $15 an hour would give 40 million workers a pay raise and push the wage scale up for everyone else.,A $15 federal minimum wage could boost pay for 40 million workers and raise wages across the board.,Conflicting Evidence/Cherrypicking
