verdict,statement,factcheck_analysis_link
false,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",https://www.politifact.com/factchecks/2014/feb/06/george-will/george-will-says-any-floridian-who-has-ever-reques/
true,"""Jackie Evancho’s album sales have skyrocketed after announcing her inauguration performance.""",https://www.politifact.com/factchecks/2017/jan/05/donald-trump/did-word-trumps-inauguration-concert-cause-jackie-/
false,TV interviews with two different men who are each identified as Uvalde victim's father show the Robb Elementary School mass shooting was staged.,https://www.politifact.com/factchecks/2022/may/31/tweets/tv-interviews-were-uvalde-mass-shooting-victims-fa/
true,"Liberty University students ""were mandated"" to attend Sen. Ted Cruz’s presidential announcement ""or they would be fined.""",https://www.politifact.com/factchecks/2015/mar/25/jess-mcintosh/liberty-u-students-faced-fine-if-they-skipped-cruz/
true,"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",https://www.politifact.com/factchecks/2016/jun/23/loretta-lynch/loretta-lynch-says-gays-and-lesbians-are-most-freq/
false,"Says a Congressional Budget Office report on spending by House Democrats in the economic stimulus concluded it ""is just not stimulus. It won't help the economy grow.""",https://www.politifact.com/factchecks/2009/jan/23/eric-cantor/Cantor-distorts-CBO-data/
false,"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",https://www.politifact.com/factchecks/2017/nov/13/richard-durbin/dick-durbin-wrong-gop-tax-bill-hasnt-had-independe/
true,"In New York state, ""you cannot charge an older person even one dollar more than a younger person"" for health insurance.",https://www.politifact.com/factchecks/2017/mar/31/chris-collins/new-york-law-prohibits-higher-health-insurance-pre/
true,"""Rhode Islanders pay among the highest auto repair bills in the nation.""",https://www.politifact.com/factchecks/2012/jul/22/robert-dimuccio/amica-insurance-president-robert-dimuccio-says-rho/
false,"""Top Democrats refuse to stand for Gold Star widow.""",https://www.politifact.com/factchecks/2017/mar/01/blog-posting/reports-falsely-accuse-democrats-refusing-stand-go/
true,"According to a recent poll, ""there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.""",https://www.politifact.com/factchecks/2013/sep/05/bill-clinton/bill-clinton-says-more-republicans-democrats-have-/
true,"Says Gary Farmer’s claim that he ""received an 'A' from the NRA"" is ""an absolute lie.""",https://www.politifact.com/factchecks/2016/jul/15/jim-waldman/state-senate-candidate-never-actually-received-rat/
